nodes,Attack,AttackOnNoSec,AttackWindow3s,NoSec,Secure
5,0.9999843503187332,,,1.301376161206799e-05,1.0000130137615666
20,1.0000004618918,,,-2.0559735147228104e-05,0.9999794402648001
50,0.9999970085862667,29.667524997649366,0.9999970085862667,-2.841460435237416e-05,0.9999715853955665
