time,value
3,0.52121839912
6,0.557712975726
9,0.572036058711
12,0.588129296968
15,0.619274423759
18,0.641350777423
21,0.773656294517
24,0.798534605255
27,0.838396161631
30,0.869241537362
35,0.88444152132
36,0.885381708223
39,0.893784793163
42,0.924654796788
45,0.938587209977
48,0.962479362799
51,0.974608040018
54,0.978665111655
57,0.980977171402
60,1.021477480488
63,1.029894921532
66,1.045883177383
69,1.049813502304
72,1.069044563755
75,1.093844616389
78,1.103763370378
81,1.124563696397
84,1.146894115092
87,1.149171876557
90,1.179879533662
93,1.216189364972
96,1.221632651588
99,1.279156756889
102,1.281529175652
105,1.292725033429
108,1.300158563837
111,1.301910752499
114,1.313168726465
117,1.33361984284
120,1.337078768829
123,1.34526574409
126,1.348251737257
129,1.358945619849
134,1.371012145257
135,1.371087251067
138,1.392773001757
141,1.426596633228
144,1.458155154319
147,1.464662764058
150,1.479618342895
153,1.500706715811
156,1.549202602518
159,1.574116933974
162,1.595603942614
165,1.69307390151
168,1.708208207482
171,1.71971612654
174,1.778025960153
177,1.821328549855
180,1.822648177132
183,1.837352643603
186,1.863961621908
189,1.884735131006
194,1.905708746308
195,1.905789434141
198,1.929817277169
201,1.948631530464
204,1.972038432372
207,1.97581815014
210,1.986305681313
213,1.988294829683
216,2.013508840859
219,2.053422021702
222,2.072232646797
225,2.081061165989
228,2.117231416119
231,2.169869531574
234,2.185535936126
237,2.188090945384
242,2.213313311453
243,2.213955845799
246,2.220014634145
249,2.227413809368
252,2.244245343957
255,2.266563147422
258,2.282433654483
261,2.296872510737
264,2.301022132182
267,2.332251272513
270,2.342642579297
273,2.361998891294
278,2.366973185096
279,2.367706775269
282,2.37939331883
285,2.389682303159
288,2.407130540185
291,2.43740491874
294,2.442910229531
297,2.444627788406
300,2.456887687625
303,2.47972128766
306,2.514746071001
309,2.561837236653
312,2.622458753245
315,2.640125087903
318,2.763103901571
321,2.769614545837
324,2.790748667879
327,2.799998061334
330,2.808584023941
333,2.849659952544
336,2.856447754404
339,2.912690994771
342,2.915356795418
345,2.920088746979
348,2.92207881275
351,2.924703267751
354,2.941893685026
357,2.963021535029
360,2.966977933397
363,2.975497049535
366,2.981110364361
369,3.011007702513
372,3.080671765072
375,3.097506121476
378,3.107183111249
381,3.112327084387
384,3.127407416724
387,3.146959672332
390,3.185983401652
393,3.187700878944
396,3.241205032471
399,3.251470952737
402,3.252520007755
405,3.29161245555
408,3.303227521733
411,3.307002873135
414,3.318273478769
417,3.335754058392
422,3.360885222092
423,3.361437014932
426,3.364461492071
429,3.381318193184
432,3.387558845453
435,3.433142072311
438,3.437031579087
