time,value
3,1.048813502304
6,1.092844616389
9,1.102763370378
12,1.215189364972
15,1.34426574409
18,2.101821251866
21,2.120402626274
24,2.172213717829
27,2.19992032433
30,2.368978483369
33,3.097278967919
36,3.131000074884
39,3.159427245381
42,3.159731159824
45,3.44733308372
48,4.008621563064
51,4.113958504284
54,4.136419464088
57,4.223732627696
60,4.442866106051
63,5.06696656975
66,5.142198448394
69,5.176392249577
72,5.219728061976
75,5.456475018802
78,6.045523528383
81,6.133935273718
84,6.22731777504
87,6.243608003343
90,6.423954251128
93,6.962949387777
96,7.131361454864
99,7.163569649029
102,7.217256310815
105,7.490478219696
108,8.054380418641
111,8.091639804514
114,8.186992806242
117,8.291258739866
120,8.564495669909
123,9.086361412518
126,9.15010408722
129,9.246824519009
132,9.351440890366
135,9.556791542469
