nodes,Attack,AttackOnNoSec,AttackWindow3s,NoSec,Secure
5,3.3333333333333335,,,0.0,0.0
20,3.3333333333333335,,,0.0,0.0
50,3.0,0.0,3.0,0.0,0.0
