run,type,module,name,attrname,attrvalue,value
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.batteryInit_mJ,5000,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.checkHmac,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.checkFreshness,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.checkDuplicate,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.duplicateMethod,"""set""",
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.bloomBits,16384,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.bloomHashes,3,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.sbfBits,16384,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.sbfHashes,3,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.gateway.sbfDecay,0.02,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.attackMode,1,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.replayInterval,2.5s,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.validMac,true,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.replayId,100000,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.replayTsUs,500000,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.dupBurstLen,4,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.dupBurstGap,200ms,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,**.fakeNode.outOfOrderJitter,80ms,
Secure50_bloom-0-20250914-01:27:43-67756,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,configname,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,datetime,20250914-01:27:43,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,datetimef,20250914-012743,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,experiment,Secure50_bloom,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,inifile,run_record.ini,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,iterationvars,,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,iterationvarsd,,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,iterationvarsf,,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,measurement,,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,processid,67755,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,repetition,0,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,replication,#0,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,resultdir,results,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,runnumber,0,
Secure50_bloom-0-20250914-01:27:43-67755,runattr,,,seedset,123,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.batteryInit_mJ,10000,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.stageOrder,"""FBH""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.result-recording-modes,all,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.scalar-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.vector-recording,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-scalar-file,results/perms_secure50/FBH.sca,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-vector-file,results/perms_secure50/FBH.vec,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,record-eventlog,false,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,extends,Secure50_record,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.duplicateMethod,"""bloom""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,LightIoTNetwork.numSensorNodes,50,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.fakeNode.enabled,false,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.sensor[*].mode,"""Secure""",
Secure50_bloom-0-20250914-01:27:43-67755,config,,,**.gateway.securityEnabled,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,description,Secure Mode Simulation (includes all scenarios),
Secure50_bloom-0-20250914-01:27:43-67755,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,ned-path,.,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,record-eventlog,true,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,cmdenv-express-mode,false,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,network,ned.LightIoTNetwork,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,sim-time-limit,10s,
Secure50_bloom-0-20250914-01:27:43-67755,config,,,output-scalar-file,results/secure_output.sca,
