run,type,module,name,attrname,attrvalue,value
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.batteryInit_mJ,5000,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.securityEnabled,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.checkHmac,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.checkFreshness,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.checkDuplicate,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.duplicateMethod,"""set""",
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.bloomBits,16384,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.bloomHashes,3,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.sbfBits,16384,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.sbfHashes,3,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.gateway.sbfDecay,0.02,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.enabled,false,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.attackMode,1,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.replayInterval,2.5s,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.validMac,true,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.replayId,100000,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.replayTsUs,500000,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.dupBurstLen,4,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.dupBurstGap,200ms,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,**.fakeNode.outOfOrderJitter,80ms,
Attack20_bloom-0-20250912-21:40:14-7300,config,,,sim-time-limit,10s,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,configname,Attack20_record,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,datetime,20250912-21:40:14,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,datetimef,20250912-214014,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,experiment,Attack20_record,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,inifile,run_record.ini,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,iterationvars,,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,iterationvarsd,,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,iterationvarsf,,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,measurement,,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,network,ned.LightIoTNetwork,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,processid,7278,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,repetition,0,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,replication,#0,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,resultdir,results,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,runnumber,0,
Attack20_record-0-20250912-21:40:14-7278,runattr,,,seedset,123,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.result-recording-modes,all,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.scalar-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.vector-recording,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-scalar-file,results/Attack20_record-0.sca,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-vector-file,results/Attack20_record-0.vec,
Attack20_record-0-20250912-21:40:14-7278,config,,,record-eventlog,false,
Attack20_record-0-20250912-21:40:14-7278,config,,,network,ned.LightIoTNetwork,
Attack20_record-0-20250912-21:40:14-7278,config,,,LightIoTNetwork.numSensorNodes,20,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.sensor[*].mode,"""Secure""",
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.enabled,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.fakeNode.validMac,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.securityEnabled,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,**.gateway.hmacWindow,1s,
Attack20_record-0-20250912-21:40:14-7278,config,,,description,Secure Mode Simulation (includes all scenarios),
Attack20_record-0-20250912-21:40:14-7278,config,,,network,ned.LightIoTNetwork,
Attack20_record-0-20250912-21:40:14-7278,config,,,ned-path,.,
Attack20_record-0-20250912-21:40:14-7278,config,,,sim-time-limit,10s,
Attack20_record-0-20250912-21:40:14-7278,config,,,record-eventlog,true,
Attack20_record-0-20250912-21:40:14-7278,config,,,cmdenv-express-mode,false,
Attack20_record-0-20250912-21:40:14-7278,config,,,network,ned.LightIoTNetwork,
Attack20_record-0-20250912-21:40:14-7278,config,,,sim-time-limit,10s,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-scalar-file,results/secure_output.sca,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-vector-file,results/secure_output.vec,
Attack20_record-0-20250912-21:40:14-7278,config,,,network,LightIoTNetwork,
Attack20_record-0-20250912-21:40:14-7278,config,,,sim-time-limit,10s,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-scalar-file,results/nosecure_output.sca,
Attack20_record-0-20250912-21:40:14-7278,config,,,output-vector-file,results/nosecure_output.vec,
Attack20_record-0-20250912-21:40:14-7278,config,,,network,LightIoTNetwork,
