Config,Nodes,Mode,Cloud_TotalReceived,GW_Received,GW_Forwarded,GW_Dropped,GW_Battery_mJ,Sensor_AvgBattery_mJ,Cloud_AvgDelay_s,Fake_AttacksSent
Attack50_window3s_record,50,Attack-Window3s,476,479,476,3,225,4810.0,0.0052016806722689,4
AttackOnNoSec50_record,50,Attack-NoSec,479,479,479,0,2605,4810.0,0.016701461377871,4
