time,value
3,0.560677898185
6,0.58472648526
9,0.640950763201
12,0.676451755989
15,0.683491732528
18,0.727851454936
21,0.745759279769
24,0.787139338743
27,0.798780498164
30,0.825150895933
33,0.844178014737
36,0.858728919946
39,0.893117517302
42,0.899044250906
45,0.902017554104
48,0.911924367839
51,0.918209947016
54,0.924106460599
59,0.928863489604
60,0.929470924962
63,0.93957224728
66,0.941257177455
69,0.981931907427
74,0.992118932609
75,0.993084773025
80,1.032551370164
81,1.032827588566
84,1.052314765122
87,1.080694297398
90,1.094902397901
93,1.112023514532
96,1.128317003906
99,1.132792020286
102,1.135400961921
105,1.185829734266
108,1.191884851385
111,1.195755175151
114,1.197469187271
119,1.213330177892
120,1.213955321418
125,1.220150308752
126,1.22046897055
129,1.223443384118
132,1.22545532144
135,1.230049708461
138,1.238995401956
141,1.241296386881
144,1.281027760426
147,1.350431794137
150,1.481764200445
153,1.557084216852
156,1.591622160118
159,1.615711049618
162,1.622104403073
165,1.63039430722
168,1.686594262788
171,1.74357188323
174,1.798713908181
177,1.813334562745
180,1.836798857826
185,1.843358336691
186,1.844280786137
189,1.84546915444
192,1.849026395775
195,1.851979688205
198,1.885216803406
201,1.891923168417
204,1.899578902102
207,1.909272519149
210,1.910661387605
213,1.926527438242
216,2.017545387265
221,2.031765420897
222,2.032007648306
225,2.035180263803
228,2.051440683216
231,2.052682099886
234,2.07079676555
237,2.073547908221
240,2.093301910883
243,2.098858058196
246,2.119692988297
249,2.121383374439
252,2.125709654134
255,2.141936098527
258,2.164046394661
261,2.174850093689
264,2.176616894755
267,2.185291492356
270,2.217075823176
273,2.222541741397
276,2.228668519365
279,2.232407756871
282,2.242892426321
285,2.270731017994
288,2.296669913292
291,2.30360666539
294,2.322567278448
297,2.323958909208
300,2.400740393833
303,2.405889933718
306,2.553262641769
309,2.586934894159
312,2.64271642838
315,2.656890319869
318,2.67525673129
321,2.695607863994
324,2.715286032971
327,2.730255531542
330,2.76726667534
333,2.797623016241
336,2.811517533729
339,2.827685228106
342,2.845483932992
345,2.880183699004
348,2.883323555742
351,2.885286547778
354,2.900622101849
357,2.901663370081
360,2.925853545008
363,2.944524144217
366,2.960308171878
369,2.989283196604
372,3.008622440672
375,3.009940909151
378,3.03473269667
381,3.056988348462
384,3.058694502268
387,3.061851346888
