run,repetition,module,name,value
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[5],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[6],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[7],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[8],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[9],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[10],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[11],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[12],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[13],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[14],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[15],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[16],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[17],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[18],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[19],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[20],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[21],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[22],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[23],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[24],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[25],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[26],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[27],Sensor_EnergyRemaining_mJ,4820
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[28],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[29],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[30],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[31],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[32],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[33],Sensor_EnergyRemaining_mJ,4800
Attack50_record-0-20250829-01:43:59-80403,0,LightIoTNetwork.sensor[34],Sensor_EnergyRemaining_mJ,4820
