time,value
3,0.52021839912
6,0.556712975726
9,0.571036058711
12,0.587129296968
15,0.618274423759
18,0.640350777423
21,0.772656294517
24,0.797534605255
27,0.837396161631
30,0.868241537362
33,0.88344152132
36,0.884381708223
39,0.892784793163
42,0.923654796788
45,0.937587209977
48,0.961479362799
51,0.973608040018
54,0.977665111655
57,0.979977171402
60,1.020477480488
63,1.028894921532
66,1.044883177383
69,1.048813502304
72,1.068044563755
75,1.092844616389
78,1.102763370378
81,1.123563696397
84,1.145894115092
87,1.148171876557
90,1.178879533662
93,1.215189364972
96,1.220632651588
99,1.278156756889
102,1.280529175652
105,1.291725033429
108,1.299158563837
111,1.300910752499
114,1.312168726465
117,1.33261984284
120,1.336078768829
123,1.34426574409
126,1.347251737257
129,1.357945619849
132,1.370012145257
135,1.370087251067
138,1.391773001757
141,1.425596633228
144,1.457155154319
147,1.463662764058
150,1.478618342895
153,1.499706715811
156,1.548202602518
159,1.573116933974
162,1.594603942614
165,1.69207390151
168,1.707208207482
171,1.71871612654
174,1.777025960153
177,1.820328549855
180,1.821648177132
183,1.836352643603
186,1.862961621908
189,1.883735131006
192,1.904708746308
195,1.904789434141
198,1.928817277169
201,1.947631530464
204,1.971038432372
207,1.97481815014
210,1.985305681313
213,1.987294829683
216,2.012508840859
219,2.052422021702
222,2.071232646797
225,2.080061165989
228,2.116231416119
231,2.168869531574
234,2.184535936126
237,2.187090945384
240,2.212313311453
243,2.212955845799
246,2.219014634145
249,2.226413809368
252,2.243245343957
255,2.265563147422
258,2.281433654483
261,2.295872510737
264,2.300022132182
267,2.331251272513
270,2.341642579297
273,2.360998891294
276,2.365973185096
279,2.366706775269
282,2.37839331883
285,2.388682303159
288,2.406130540185
291,2.43640491874
294,2.441910229531
297,2.443627788406
300,2.455887687625
303,2.47872128766
306,2.513746071001
309,2.560837236653
312,2.621458753245
315,2.639125087903
318,2.762103901571
321,2.768614545837
324,2.789748667879
327,2.798998061334
330,2.807584023941
333,2.848659952544
336,2.855447754404
339,2.911690994771
342,2.914356795418
345,2.919088746979
348,2.92107881275
351,2.923703267751
354,2.940893685026
357,2.962021535029
360,2.965977933397
363,2.974497049535
366,2.980110364361
369,3.010007702513
372,3.079671765072
375,3.096506121476
378,3.106183111249
381,3.111327084387
384,3.126407416724
387,3.145959672332
390,3.184983401652
393,3.186700878944
396,3.240205032471
399,3.250470952737
402,3.251520007755
405,3.29061245555
408,3.302227521733
411,3.306002873135
414,3.317273478769
417,3.334754058392
420,3.359885222092
423,3.360437014932
426,3.363461492071
429,3.380318193184
432,3.386558845453
435,3.432142072311
438,3.436031579087
441,3.441611878807
444,3.456290784338
447,3.457374022343
450,3.484034521319
453,3.491480504675
456,3.502088255295
459,3.517398628547
462,3.563164400821
465,3.717376099341
468,3.722743604192
471,3.727842585696
474,3.733992795367
477,3.785927375127
480,3.812256587204
483,3.831918247183
486,3.845316261192
489,3.864443239383
492,3.894543592445
495,3.927574947756
498,3.931542933034
501,3.953931458155
504,3.962197691621
507,3.975341824721
510,3.981904156553
513,3.998003889992
516,4.014657313098
519,4.015294222674
522,4.038998446194
525,4.043029914052
528,4.126516383421
531,4.140527114458
534,4.14207637282
537,4.150414669933
540,4.163016356388
543,4.190414633649
546,4.216972027951
549,4.231818911899
552,4.283953027987
555,4.292635276587
558,4.297075287625
561,4.312831254955
564,4.319988423585
567,4.331662349448
570,4.33616358242
573,4.343025642401
576,4.349268312705
579,4.35831311876
582,4.369019671204
585,4.385550703202
588,4.397123142285
591,4.397620779788
594,4.413322873972
597,4.430252403486
600,4.471400222276
603,4.507399884472
606,4.51601193617
609,4.527043812536
612,4.60391185698
615,4.68043889068
618,4.720650408138
621,4.735678003077
624,4.764414903429
627,4.820280294679
630,4.824535916838
633,4.847149714361
636,4.863477925491
639,4.882851624675
642,4.898547784286
645,4.942025328055
648,4.959327149065
651,4.973751270305
654,4.987428965698
657,5.00449685948
660,5.01791527113
663,5.040508577786
666,5.049756765412
669,5.06589162657
672,5.082925769548
675,5.084575955896
678,5.10001450479
681,5.134712630976
684,5.145380384754
687,5.169715781417
690,5.195481113344
693,5.213174233865
696,5.233912282997
699,5.25205984339
702,5.259718954051
705,5.308039552067
708,5.308889851765
711,5.343229746911
714,5.353856599098
717,5.358577995375
720,5.370168667751
723,5.375660921541
726,5.381201995536
729,5.388076498686
732,5.389178326865
735,5.392296732403
738,5.413071667309
741,5.415023412276
744,5.426418819092
747,5.430882452661
750,5.476767431154
753,5.495161934477
756,5.51098544048
759,5.528678527847
762,5.597938294661
765,5.640753853926
768,5.722013104195
771,5.763865314844
774,5.767712710752
777,5.778295816667
780,5.801228362042
783,5.868605364393
786,5.869120141771
789,5.870752799743
792,5.879899821058
795,5.90590374302
798,5.913311892702
801,5.933407735871
804,5.974238222512
807,5.988724604017
810,5.989650788299
813,6.018489841791
816,6.058683130378
819,6.060120016429
