CONFIG,Cloud_Received,Gateway_Received,Gateway_Forwarded,Gateway_Dropped,Gateway_Energy_mJ,Sensor_Energy_mJ,Avg_Delay_s
Secure50_standalone,468,471,468,3,320,4800,0
NoSecurity50_standalone,468,471,468,3,320,4800,0
Attack50_replay_NoSec,469,471,469,2,310,4800,0.00426439
Attack50_replay_Secure,469,471,469,2,310,4800,0.00426439
