time,value
3,1.049813502304
6,1.093844616389
9,1.103763370378
12,1.216189364972
15,1.34526574409
18,2.102821251866
21,2.121402626274
24,2.173213717829
27,2.20092032433
30,2.369978483369
33,3.098278967919
36,3.132000074884
41,3.160427245381
42,3.160731159824
45,3.44833308372
48,4.009621563064
51,4.114958504284
54,4.137419464088
57,4.224732627696
60,4.443866106051
63,5.06796656975
66,5.143198448394
69,5.177392249577
72,5.220728061976
75,5.457475018802
78,6.046523528383
81,6.134935273718
84,6.22831777504
87,6.244608003343
90,6.424954251128
93,6.963949387777
96,7.132361454864
99,7.164569649029
102,7.218256310815
105,7.491478219696
108,8.055380418641
111,8.092639804514
114,8.187992806242
117,8.292258739866
120,8.565495669909
123,9.087361412518
126,9.15110408722
129,9.247824519009
132,9.352440890366
135,9.557791542469
