run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack50_record-0-20250915-22:43:51-99422,runattr,,,configname,Attack50_record,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,datetime,20250915-22:43:51,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,datetimef,20250915-224351,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,experiment,Attack50_record,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,inifile,run_record.ini,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,iterationvars,,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,iterationvarsd,,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,iterationvarsf,,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,measurement,,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,processid,99422,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,repetition,0,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,replication,#0,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,resultdir,results,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,runnumber,0,,
Attack50_record-0-20250915-22:43:51-99422,runattr,,,seedset,103,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.result-recording-modes,all,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.scalar-recording,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.vector-recording,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-scalar-file,results/delay/Attack50_record_s103.sca,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-vector-file,results/delay/Attack50_record_s103.vec,,
Attack50_record-0-20250915-22:43:51-99422,config,,,record-eventlog,false,,
Attack50_record-0-20250915-22:43:51-99422,config,,,seed-set,103,,
Attack50_record-0-20250915-22:43:51-99422,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99422,config,,,LightIoTNetwork.numSensorNodes,50,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.sensor[*].mode,"""Secure""",,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.fakeNode.enabled,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.fakeNode.validMac,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.gateway.securityEnabled,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.gateway.hmacWindow,3s,,
Attack50_record-0-20250915-22:43:51-99422,config,,,description,Secure Mode Simulation (includes all scenarios),,
Attack50_record-0-20250915-22:43:51-99422,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99422,config,,,ned-path,.,,
Attack50_record-0-20250915-22:43:51-99422,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99422,config,,,record-eventlog,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,cmdenv-express-mode,false,,
Attack50_record-0-20250915-22:43:51-99422,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99422,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-scalar-file,results/secure_output.sca,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-vector-file,results/secure_output.vec,,
Attack50_record-0-20250915-22:43:51-99422,config,,,network,LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99422,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-scalar-file,results/nosecure_output.sca,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-vector-file,results/nosecure_output.vec,,
Attack50_record-0-20250915-22:43:51-99422,config,,,network,LightIoTNetwork,,
Attack50_record-0-20250915-22:43:51-99422,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-scalar-file,results/attack_output.sca,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-vector-file,results/attack_output.vec,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-scalar-file,results/Attack50_record-0.sca,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-vector-file,results/Attack50_record-0.vec,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.scalar-recording,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.vector-recording,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.statistic-recording,true,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.result-recording-modes,all,,
Attack50_record-0-20250915-22:43:51-99422,config,,,rng-class,cMersenneTwister,,
Attack50_record-0-20250915-22:43:51-99422,config,,,num-rngs,1,,
Attack50_record-0-20250915-22:43:51-99422,config,,,seed-set,123,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-scalar-file,results/Attack50_record-0.sca,,
Attack50_record-0-20250915-22:43:51-99422,config,,,output-vector-file,results/Attack50_record-0.vec,,
Attack50_record-0-20250915-22:43:51-99422,config,,,**.scalar-recording,true,,
