run,type,module,name,attrname,attrvalue,vectime,vecvalue
Secure50_record-0-20250915-22:43:50-99392,runattr,,,configname,Secure50_record,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,datetime,20250915-22:43:50,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,datetimef,20250915-224350,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,experiment,Secure50_record,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,inifile,run_record.ini,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,iterationvars,,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,iterationvarsd,,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,iterationvarsf,,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,measurement,,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,processid,99392,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,repetition,0,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,replication,#0,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,resultdir,results,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,runnumber,0,,
Secure50_record-0-20250915-22:43:50-99392,runattr,,,seedset,101,,
Secure50_record-0-20250915-22:43:50-99392,config,,,**.result-recording-modes,all,,
Secure50_record-0-20250915-22:43:50-99392,config,,,**.scalar-recording,true,,
Secure50_record-0-20250915-22:43:50-99392,config,,,**.vector-recording,true,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-scalar-file,results/delay/Secure50_record_s101.sca,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-vector-file,results/delay/Secure50_record_s101.vec,,
Secure50_record-0-20250915-22:43:50-99392,config,,,record-eventlog,false,,
Secure50_record-0-20250915-22:43:50-99392,config,,,seed-set,101,,
Secure50_record-0-20250915-22:43:50-99392,config,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99392,config,,,LightIoTNetwork.numSensorNodes,50,,
Secure50_record-0-20250915-22:43:50-99392,config,,,**.fakeNode.enabled,false,,
Secure50_record-0-20250915-22:43:50-99392,config,,,**.sensor[*].mode,"""Secure""",,
Secure50_record-0-20250915-22:43:50-99392,config,,,**.gateway.securityEnabled,true,,
Secure50_record-0-20250915-22:43:50-99392,config,,,description,Secure Mode Simulation (includes all scenarios),,
Secure50_record-0-20250915-22:43:50-99392,config,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99392,config,,,ned-path,.,,
Secure50_record-0-20250915-22:43:50-99392,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99392,config,,,record-eventlog,true,,
Secure50_record-0-20250915-22:43:50-99392,config,,,cmdenv-express-mode,false,,
Secure50_record-0-20250915-22:43:50-99392,config,,,network,ned.LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99392,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-scalar-file,results/secure_output.sca,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-vector-file,results/secure_output.vec,,
Secure50_record-0-20250915-22:43:50-99392,config,,,network,LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99392,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-scalar-file,results/nosecure_output.sca,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-vector-file,results/nosecure_output.vec,,
Secure50_record-0-20250915-22:43:50-99392,config,,,network,LightIoTNetwork,,
Secure50_record-0-20250915-22:43:50-99392,config,,,sim-time-limit,10s,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-scalar-file,results/attack_output.sca,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-vector-file,results/attack_output.vec,,
Secure50_record-0-20250915-22:43:50-99392,config,,,output-scalar-file,results/Secure50_record-0.sca,,
