run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,configname,NoSec50_record,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,datetime,20250915-22:43:51,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,datetimef,20250915-224351,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,experiment,NoSec50_record,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,inifile,run_record.ini,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,iterationvars,,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,iterationvarsd,,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,iterationvarsf,,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,measurement,,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,processid,99426,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,repetition,0,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,replication,#0,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,resultdir,results,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,runnumber,0,,
NoSec50_record-0-20250915-22:43:51-99426,runattr,,,seedset,104,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.result-recording-modes,all,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.scalar-recording,true,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.vector-recording,true,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,output-scalar-file,results/delay/NoSec50_record_s104.sca,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,output-vector-file,results/delay/NoSec50_record_s104.vec,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,record-eventlog,false,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,seed-set,104,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,LightIoTNetwork.numSensorNodes,50,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.fakeNode.enabled,false,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.sensor[*].mode,"""NoSecurity""",,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.gateway.securityEnabled,false,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.gateway.procDelay,0s,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,**.gateway.costVerify_mJ,0,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,description,Secure Mode Simulation (includes all scenarios),,
NoSec50_record-0-20250915-22:43:51-99426,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,ned-path,.,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,record-eventlog,true,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,cmdenv-express-mode,false,,
NoSec50_record-0-20250915-22:43:51-99426,config,,,network,ned.LightIoTNetwork,,
