run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,configname,NoSec50_record,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,datetime,20250915-22:43:50,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,datetimef,20250915-224350,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,experiment,NoSec50_record,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,inifile,run_record.ini,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,iterationvars,,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,iterationvarsd,,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,iterationvarsf,,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,measurement,,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,processid,99404,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,repetition,0,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,replication,#0,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,resultdir,results,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,runnumber,0,,
NoSec50_record-0-20250915-22:43:50-99404,runattr,,,seedset,102,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.result-recording-modes,all,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.scalar-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.vector-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-scalar-file,results/delay/NoSec50_record_s102.sca,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-vector-file,results/delay/NoSec50_record_s102.vec,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,record-eventlog,false,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,seed-set,102,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,LightIoTNetwork.numSensorNodes,50,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.fakeNode.enabled,false,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.sensor[*].mode,"""NoSecurity""",,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.gateway.securityEnabled,false,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.gateway.procDelay,0s,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.gateway.costVerify_mJ,0,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,description,Secure Mode Simulation (includes all scenarios),,
NoSec50_record-0-20250915-22:43:50-99404,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,ned-path,.,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,record-eventlog,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,cmdenv-express-mode,false,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-scalar-file,results/secure_output.sca,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-vector-file,results/secure_output.vec,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,network,LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-scalar-file,results/nosecure_output.sca,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-vector-file,results/nosecure_output.vec,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,network,LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-scalar-file,results/attack_output.sca,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-vector-file,results/attack_output.vec,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-scalar-file,results/NoSec50_record-0.sca,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-vector-file,results/NoSec50_record-0.vec,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.scalar-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.vector-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.statistic-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.result-recording-modes,all,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,rng-class,cMersenneTwister,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,num-rngs,1,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,seed-set,123,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-scalar-file,results/NoSec50_record-0.sca,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,output-vector-file,results/NoSec50_record-0.vec,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.scalar-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.vector-recording,true,,
NoSec50_record-0-20250915-22:43:50-99404,config,,,**.result-recording-modes,all,,
