run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack5_record-0-20250915-22:43:50-99408,runattr,,,configname,Attack5_record,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,datetime,20250915-22:43:50,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,datetimef,20250915-224350,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,experiment,Attack5_record,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,inifile,run_record.ini,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,iterationvars,,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,iterationvarsd,,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,iterationvarsf,,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,measurement,,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,processid,99408,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,repetition,0,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,replication,#0,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,resultdir,results,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,runnumber,0,,
Attack5_record-0-20250915-22:43:50-99408,runattr,,,seedset,102,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.result-recording-modes,all,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.scalar-recording,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.vector-recording,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-scalar-file,results/delay/Attack5_record_s102.sca,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-vector-file,results/delay/Attack5_record_s102.vec,,
Attack5_record-0-20250915-22:43:50-99408,config,,,record-eventlog,false,,
Attack5_record-0-20250915-22:43:50-99408,config,,,seed-set,102,,
Attack5_record-0-20250915-22:43:50-99408,config,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250915-22:43:50-99408,config,,,LightIoTNetwork.numSensorNodes,5,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.sensor[*].mode,"""Secure""",,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.fakeNode.enabled,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.fakeNode.validMac,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.gateway.securityEnabled,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.gateway.hmacWindow,1s,,
Attack5_record-0-20250915-22:43:50-99408,config,,,description,Secure Mode Simulation (includes all scenarios),,
Attack5_record-0-20250915-22:43:50-99408,config,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250915-22:43:50-99408,config,,,ned-path,.,,
Attack5_record-0-20250915-22:43:50-99408,config,,,sim-time-limit,10s,,
Attack5_record-0-20250915-22:43:50-99408,config,,,record-eventlog,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,cmdenv-express-mode,false,,
Attack5_record-0-20250915-22:43:50-99408,config,,,network,ned.LightIoTNetwork,,
Attack5_record-0-20250915-22:43:50-99408,config,,,sim-time-limit,10s,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-scalar-file,results/secure_output.sca,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-vector-file,results/secure_output.vec,,
Attack5_record-0-20250915-22:43:50-99408,config,,,network,LightIoTNetwork,,
Attack5_record-0-20250915-22:43:50-99408,config,,,sim-time-limit,10s,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-scalar-file,results/nosecure_output.sca,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-vector-file,results/nosecure_output.vec,,
Attack5_record-0-20250915-22:43:50-99408,config,,,network,LightIoTNetwork,,
Attack5_record-0-20250915-22:43:50-99408,config,,,sim-time-limit,10s,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-scalar-file,results/attack_output.sca,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-vector-file,results/attack_output.vec,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-scalar-file,results/Attack5_record-0.sca,,
Attack5_record-0-20250915-22:43:50-99408,config,,,output-vector-file,results/Attack5_record-0.vec,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.scalar-recording,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.vector-recording,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.statistic-recording,true,,
Attack5_record-0-20250915-22:43:50-99408,config,,,**.result-recording-modes,all,,
Attack5_record-0-20250915-22:43:50-99408,config,,,rng-class,cMersenneTwister,,
Attack5_record-0-20250915-22:43:50-99408,config,,,num-rngs,1,,
