run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack50_record-0-20250915-22:43:50-99410,runattr,,,configname,Attack50_record,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,datetime,20250915-22:43:50,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,datetimef,20250915-224350,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,experiment,Attack50_record,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,inifile,run_record.ini,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,iterationvars,,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,iterationvarsd,,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,iterationvarsf,,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,measurement,,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,processid,99410,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,repetition,0,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,replication,#0,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,resultdir,results,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,runnumber,0,,
Attack50_record-0-20250915-22:43:50-99410,runattr,,,seedset,102,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.result-recording-modes,all,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.scalar-recording,true,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.vector-recording,true,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-scalar-file,results/delay/Attack50_record_s102.sca,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-vector-file,results/delay/Attack50_record_s102.vec,,
Attack50_record-0-20250915-22:43:50-99410,config,,,record-eventlog,false,,
Attack50_record-0-20250915-22:43:50-99410,config,,,seed-set,102,,
Attack50_record-0-20250915-22:43:50-99410,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:50-99410,config,,,LightIoTNetwork.numSensorNodes,50,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.sensor[*].mode,"""Secure""",,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.fakeNode.enabled,true,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.fakeNode.validMac,true,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.gateway.securityEnabled,true,,
Attack50_record-0-20250915-22:43:50-99410,config,,,**.gateway.hmacWindow,3s,,
Attack50_record-0-20250915-22:43:50-99410,config,,,description,Secure Mode Simulation (includes all scenarios),,
Attack50_record-0-20250915-22:43:50-99410,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:50-99410,config,,,ned-path,.,,
Attack50_record-0-20250915-22:43:50-99410,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:50-99410,config,,,record-eventlog,true,,
Attack50_record-0-20250915-22:43:50-99410,config,,,cmdenv-express-mode,false,,
Attack50_record-0-20250915-22:43:50-99410,config,,,network,ned.LightIoTNetwork,,
Attack50_record-0-20250915-22:43:50-99410,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-scalar-file,results/secure_output.sca,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-vector-file,results/secure_output.vec,,
Attack50_record-0-20250915-22:43:50-99410,config,,,network,LightIoTNetwork,,
Attack50_record-0-20250915-22:43:50-99410,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-scalar-file,results/nosecure_output.sca,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-vector-file,results/nosecure_output.vec,,
Attack50_record-0-20250915-22:43:50-99410,config,,,network,LightIoTNetwork,,
Attack50_record-0-20250915-22:43:50-99410,config,,,sim-time-limit,10s,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-scalar-file,results/attack_output.sca,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-vector-file,results/attack_output.vec,,
Attack50_record-0-20250915-22:43:50-99410,config,,,output-scalar-file,results/Attack50_record-0.sca,,
