run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,configname,NoSec20_record,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,datetime,20250915-22:43:50,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,datetimef,20250915-224350,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,experiment,NoSec20_record,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,inifile,run_record.ini,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,iterationvars,,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,iterationvarsd,,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,iterationvarsf,,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,measurement,,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,processid,99403,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,repetition,0,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,replication,#0,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,resultdir,results,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,runnumber,0,,
NoSec20_record-0-20250915-22:43:50-99403,runattr,,,seedset,102,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.result-recording-modes,all,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.scalar-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.vector-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-scalar-file,results/delay/NoSec20_record_s102.sca,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-vector-file,results/delay/NoSec20_record_s102.vec,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,record-eventlog,false,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,seed-set,102,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,LightIoTNetwork.numSensorNodes,20,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.enabled,false,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.sensor[*].mode,"""NoSecurity""",,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.securityEnabled,false,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.procDelay,0s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.costVerify_mJ,0,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,description,Secure Mode Simulation (includes all scenarios),,
NoSec20_record-0-20250915-22:43:50-99403,config,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,ned-path,.,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,record-eventlog,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,cmdenv-express-mode,false,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,network,ned.LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-scalar-file,results/secure_output.sca,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-vector-file,results/secure_output.vec,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,network,LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-scalar-file,results/nosecure_output.sca,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-vector-file,results/nosecure_output.vec,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,network,LightIoTNetwork,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-scalar-file,results/attack_output.sca,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-vector-file,results/attack_output.vec,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-scalar-file,results/NoSec20_record-0.sca,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-vector-file,results/NoSec20_record-0.vec,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.scalar-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.vector-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.statistic-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.result-recording-modes,all,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,rng-class,cMersenneTwister,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,num-rngs,1,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,seed-set,123,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-scalar-file,results/NoSec20_record-0.sca,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,output-vector-file,results/NoSec20_record-0.vec,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.scalar-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.vector-recording,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.result-recording-modes,all,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.sensor[*].sendInterval,0.5s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.sensor[*].mode,"""Secure""",,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.procDelay,1ms,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.hmacWindow,1s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.costForward_mJ,5,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.costVerify_mJ,5,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.batteryInit_mJ,5000,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.securityEnabled,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.checkHmac,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.checkFreshness,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.checkDuplicate,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.duplicateMethod,"""set""",,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.bloomBits,16384,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.bloomHashes,3,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.sbfBits,16384,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.sbfHashes,3,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.gateway.sbfDecay,0.02,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.enabled,false,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.attackMode,1,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.replayInterval,2.5s,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.validMac,true,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.replayId,100000,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.replayTsUs,500000,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.dupBurstLen,4,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.dupBurstGap,200ms,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,**.fakeNode.outOfOrderJitter,80ms,,
NoSec20_record-0-20250915-22:43:50-99403,config,,,sim-time-limit,10s,,
NoSec20_record-0-20250915-22:43:50-99403,vector,LightIoTNetwork.cloud,e2eDelay_valid,,,"0.667248504469 0.672306763008 0.73147379281 0.738266009605 0.799281742889 0.810206617927 0.812144966563 0.857931552222 0.897557434393 0.96260124119 0.989022911526 0.991747298744 1.016861910699 1.028343753889 1.078739391873 1.097681581974 1.166268328228 1.175986904185 1.189529917157 1.221002836968 1.230740264524 1.267522795591 1.270914781559 1.288022245373 1.298261174862 1.309017668711 1.358492965973 1.427113849274 1.428616580972 1.453169729561 1.472367594531 1.518756960612 1.529647176038 1.533175440086 1.552430437109 1.554901414318 1.629361137236 1.651771635377 1.711843841872 1.723853152222 1.735905999388 1.750487491442 1.755397763336 1.773604476475 1.781510737003 1.808538686973 1.883581198892 1.903523652348 1.942135368916 1.958312532934 1.995526154782 2.004507255252 2.016952214623 2.037042781897 2.092610278911 2.103944013966 2.130982780946 2.138841004065 2.188533773832 2.201963706314 2.232995531498 2.237654974731 2.248707911256 2.275175794354 2.29913687089 2.316551558883 2.351131495112 2.384159956173 2.42303433821 2.444117283681 2.476798280678 2.496102590137 2.5018082503 2.540994497715 2.549694554973 2.628836665069 2.631672198349 2.638580981526 2.662431616778 2.678705043974 2.762342559733 2.762991992291 2.774137037666 2.77959646252 2.784991706349 2.81522940686 2.87261793667 2.907700629392 2.931690242187 2.974347561178 2.979404069227 2.980557213398 2.988239429798 3.045849515172 3.094811969367 3.0982515265 3.108893516311 3.110017263749 3.194370768615 3.219018899975 3.272294143867 3.286885050382 3.292565612216 3.296182514866 3.299046751717 3.330979222618 3.331903656596 3.413272319058 3.427241269731 3.435280458908 3.485640778812 3.508009814494 3.517658893205 3.553975125635 3.576936817682 3.595122696157 3.60755141871 3.638781034503 3.717734514363 3.727999938884 3.746068981803 3.763327492423 3.764393810393 3.784548383858 3.821934259171 3.847317232983 3.862962914351 3.887819849676 3.903744259872 3.948887273738 3.966160315578 4.010259947227 4.032577348687 4.036563394102 4.064337326214 4.094229704351 4.125701259426 4.16108673422 4.170259984466 4.230875636009 4.23755945058 4.259314096485 4.263161760919 4.284573292709 4.310881373193 4.349379917676 4.392472983361 4.40299892188 4.419776330306 4.435350578487 4.437532544648 4.498364044586 4.50512432782 4.52777986459 4.581581774773 4.636087694322 4.655717394944 4.677561282808 4.687863207492 4.70104506195 4.75658752045 4.76641383276 4.776684004092 4.81524465438 4.837776865554 4.842402585875 4.872524675587 4.892646397324 4.910771244694 4.925864874152 4.951646234606 4.981940865354 4.992243943829 5.052756815776 5.085387470387 5.090733769606 5.136735335713 5.155981881474 5.19233115802 5.196766828816 5.234840874303 5.23484104448 5.257258977975 5.283074675105 5.295054338709 5.298689052649 5.382634691312 5.431781896413 5.433665097317 5.43891072201 5.441622781335 5.457875308115 5.515267796535 5.515526330028 5.582976001641 5.617565705115 5.62957162517 5.660388668416 5.684320834582 5.694678011047 5.707199197659 5.726659403904 5.77162975052 5.782703319123 5.784265723452 5.812969999248 5.887071978161 5.900192284678 5.909567564935 5.914349963981 5.920119221577 5.98420361462 6.005349672586 6.065461803204 6.082511437846 6.116911266465 6.130892869109 6.162710516179 6.183024334535 6.190566857926 6.217387987929 6.237549958238 6.256465780898 6.272640060518 6.286339864693 6.288900413528 6.355819760939 6.398046026495 6.398549924232 6.434926729393 6.445610518869 6.467850120923 6.521089257323 6.584334448981 6.59841935276 6.604503302671 6.635791584291 6.645784681175 6.666627237248 6.705143502353 6.727941190965 6.743595259473 6.770116593084 6.777582032466 6.782793656736 6.785372280445 6.847445095727 6.867594155785 6.902405934291 6.905596982362 6.949711105926 6.975362685531 7.036528680078 7.054164037015 7.101696734666 7.11965302711 7.140609262906 7.144102644245 7.149863673282 7.225660098973 7.239767298986 7.243614964932 7.250945141981 7.264279089287 7.288820716901 7.302541552902 7.327191385255 7.383843461214 7.390116714429 7.422372374195 7.45605915042 7.489211763139 7.492770420574 7.50616777779 7.60890631089 7.614021574636 7.629422304548 7.645925703227 7.672658110525 7.695744467131 7.701455870526 7.736969125994 7.757054768641 7.765079731214 7.767407919559 7.811028032004 7.840496750479 7.874527946255 7.925286881508 7.933270053402 7.952465544595 7.982339291599 7.988981121894 8.028258056706 8.065996296331 8.121377667507 8.124157865928 8.175632141579 8.197787510579 8.212922682847 8.234313807473 8.237389099738 8.280335253569 8.280702610802 8.281554877524 8.300885435356 8.333031606861 8.341898679944 8.422813275385 8.444848087918 8.463109056371 8.466792118688 8.470899733133 8.516018048627 8.561189250578 8.577978200095 8.604662698764 8.633045505571 8.717377076229 8.740749042596 8.745426143311 8.756021045776 8.766558721614 8.77812853644 8.784274870272 8.795414506133 8.798712590499 8.833033508552 8.90984547329 8.971426226244 8.975890724967 8.990285384933 8.994395876536 9.006513231712 9.033798918407 9.054709926504 9.099894493099 9.171815453681 9.175456596586 9.24450491052 9.25485031763 9.258126541063 9.25834903319 9.283487040688 9.288707419483 9.302104920102 9.32987543787 9.358058773052 9.438518056833 9.44531066059 9.449801234784 9.450248997238 9.512354261566 9.527085884475 9.542949894023 9.557712574559 9.59280493113 9.658949988314 9.71802797462 9.763544553587 9.768199799628 9.777193298656 9.783071011934 9.788671347847 9.797643304638 9.816671661591 9.845583838783 9.898873279315 9.934891237923 9.95349723578 9.954876038827 9.981743550788","-4.95531e-07 -2.36992e-07 -2.0719e-07 9.605e-09 -2.57111e-07 -3.82073e-07 -3.3437e-08 -4.47778e-07 4.34393e-07 2.4119e-07 -8.8474e-08 2.98744e-07 -8.9301e-08 -2.46111e-07 3.91873e-07 -4.18026e-07 3.28228e-07 -9.5815e-08 -8.2843e-08 -1.63032e-07 2.64524e-07 -2.04409e-07 -2.18441e-07 2.45373e-07 1.74862e-07 -3.31289e-07 -3.4027e-08 -1.50726e-07 -4.19028e-07 -2.70439e-07 -4.05469e-07 -3.9388e-08 1.76038e-07 4.40086e-07 4.37109e-07 4.14318e-07 1.37236e-07 -3.64623e-07 -1.58128e-07 1.52222e-07 -6.12e-10 4.91442e-07 -2.36664e-07 4.76475e-07 -2.62997e-07 -3.13027e-07 1.98892e-07 -3.47652e-07 3.68916e-07 -4.67066e-07 1.54782e-07 2.55252e-07 2.14623e-07 -2.18103e-07 2.78911e-07 1.3966e-08 -2.19054e-07 4.065e-09 -2.26168e-07 -2.93686e-07 -4.68502e-07 -2.5269e-08 -8.8744e-08 -2.05646e-07 -1.2911e-07 -4.41117e-07 4.95112e-07 -4.3827e-08 3.3821e-07 2.83681e-07 2.80678e-07 -4.09863e-07 2.503e-07 4.97715e-07 -4.45027e-07 -3.34931e-07 1.98349e-07 -1.8474e-08 -3.83222e-07 4.3974e-08 -4.40267e-07 -7.709e-09 3.7666e-08 4.6252e-07 -2.93651e-07 4.0686e-07 -6.333e-08 -3.70608e-07 2.42187e-07 -4.38822e-07 6.9227e-08 2.13398e-07 4.29798e-07 -4.84828e-07 -3.0633e-08 -4.735e-07 -4.83689e-07 2.63749e-07 -2.31385e-07 -1.00025e-07 1.43867e-07 5.0382e-08 -3.87784e-07 -4.85134e-07 -2.48283e-07 2.22618e-07 -3.43404e-07 3.19058e-07 2.69731e-07 4.58908e-07 -2.21188e-07 -1.85506e-07 -1.06795e-07 1.25635e-07 -1.82318e-07 -3.03843e-07 4.1871e-07 3.4503e-08 -4.85637e-07 -6.1116e-08 -1.8197e-08 4.92423e-07 -1.89607e-07 3.83858e-07 2.59171e-07 2.32983e-07 -8.5649e-08 -1.50324e-07 2.59872e-07 2.73738e-07 3.15578e-07 -5.2773e-08 3.48687e-07 3.94102e-07 3.26214e-07 -2.95649e-07 2.59426e-07 -2.6578e-07 -1.5534e-08 -3.63991e-07 4.5058e-07 9.6485e-08 -2.39081e-07 2.92709e-07 3.73193e-07 -8.2324e-08 -1.6639e-08 -7.812e-08 3.30306e-07 -4.21513e-07 -4.55352e-07 4.4586e-08 3.2782e-07 -1.3541e-07 -2.25227e-07 -3.05678e-07 3.94944e-07 2.82808e-07 2.07492e-07 6.195e-08 -4.7955e-07 -1.6724e-07 4.092e-09 -3.4562e-07 -1.34446e-07 -4.14125e-07 -3.24413e-07 3.97324e-07 2.44694e-07 -1.25848e-07 2.34606e-07 -1.34646e-07 -5.6171e-08 -1.84224e-07 4.70387e-07 -2.30394e-07 3.35713e-07 -1.18526e-07 1.5802e-07 -1.71184e-07 -1.25697e-07 4.448e-08 -2.2025e-08 -3.24895e-07 3.38709e-07 5.2649e-08 -3.08688e-07 -1.03587e-07 9.7317e-08 -2.7799e-07 -2.18665e-07 3.08115e-07 -2.03465e-07 3.30028e-07 1.641e-09 -2.94885e-07 -3.7483e-07 -3.31584e-07 -1.65418e-07 1.1047e-08 1.97659e-07 4.03904e-07 -2.4948e-07 3.19123e-07 -2.76548e-07 -7.52e-10 -2.1839e-08 2.84678e-07 -4.35065e-07 -3.6019e-08 2.21577e-07 -3.8538e-07 -3.27414e-07 -1.96796e-07 4.37846e-07 2.66465e-07 -1.30891e-07 -4.83821e-07 3.34535e-07 -1.42074e-07 -1.2071e-08 -4.1762e-08 -2.19102e-07 6.0518e-08 -1.35307e-07 4.13528e-07 -2.39061e-07 2.6495e-08 -7.5768e-08 -2.70607e-07 -4.81131e-07 1.20923e-07 2.57323e-07 4.48981e-07 3.5276e-07 3.02671e-07 -4.15709e-07 -3.18825e-07 2.37248e-07 -4.97647e-07 1.90965e-07 2.59473e-07 -4.06916e-07 3.2466e-08 -3.43264e-07 2.80445e-07 9.5727e-08 1.55785e-07 -6.5709e-08 -1.7638e-08 1.05926e-07 -3.14469e-07 -3.19922e-07 3.7015e-08 -2.65334e-07 2.711e-08 2.62906e-07 -3.55755e-07 -3.26718e-07 9.8973e-08 2.98986e-07 -3.5068e-08 1.41981e-07 8.9287e-08 -2.83099e-07 -4.47098e-07 3.85255e-07 4.61214e-07 -2.85571e-07 3.74195e-07 1.5042e-07 -2.36861e-07 4.20574e-07 -2.2221e-07 3.1089e-07 -4.25364e-07 3.04548e-07 -2.96773e-07 1.10525e-07 4.67131e-07 -1.29474e-07 1.25994e-07 -2.31359e-07 -2.68786e-07 -8.0441e-08 3.2004e-08 -2.49521e-07 -5.3745e-08 -1.18492e-07 5.3402e-08 -4.55405e-07 2.91599e-07 1.21894e-07 5.6706e-08 2.96331e-07 -3.32493e-07 -1.34072e-07 1.41579e-07 -4.89421e-07 -3.17153e-07 -1.92527e-07 9.9738e-08 2.53569e-07 -3.89198e-07 -1.22476e-07 4.35356e-07 -3.93139e-07 -3.20056e-07 2.75385e-07 8.7918e-08 5.6371e-08 1.18688e-07 -2.66867e-07 4.8627e-08 2.50578e-07 2.00095e-07 -3.01236e-07 -4.94429e-07 7.6229e-08 4.2596e-08 1.43311e-07 4.5776e-08 -2.78386e-07 -4.6356e-07 -1.29728e-07 -4.93867e-07 -4.09501e-07 -4.91448e-07 4.7329e-07 2.26244e-07 -2.75033e-07 3.84933e-07 -1.23464e-07 2.31712e-07 -8.1593e-08 -7.3496e-08 4.93099e-07 4.53681e-07 -4.03414e-07 -8.948e-08 3.1763e-07 -4.58937e-07 3.319e-08 4.0688e-08 4.19483e-07 -7.9898e-08 4.3787e-07 -2.26948e-07 5.6833e-08 -3.3941e-07 2.34784e-07 -2.762e-09 2.61566e-07 -1.15525e-07 -1.05977e-07 -4.25441e-07 -6.887e-08 -1.1686e-08 -2.538e-08 -4.46413e-07 -2.00372e-07 2.98656e-07 1.1934e-08 3.47847e-07 3.04638e-07 -3.38409e-07 -1.61217e-07 2.79315e-07 2.37923e-07 2.3578e-07 3.8827e-08 -4.49212e-07"
NoSec20_record-0-20250915-22:43:50-99403,vector,LightIoTNetwork.cloud,e2eDelay_debug,,,"0.667248504469 0.672306763008 0.73147379281 0.738266009605 0.799281742889 0.810206617927 0.812144966563 0.857931552222 0.897557434393 0.96260124119","-4.95531e-07 -2.36992e-07 -2.0719e-07 9.605e-09 -2.57111e-07 -3.82073e-07 -3.3437e-08 -4.47778e-07 4.34393e-07 2.4119e-07"
