run,type,module,name,attrname,attrvalue,vectime,vecvalue
Secure5_record-0-20250915-22:43:50-99390,runattr,,,configname,Secure5_record,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,datetime,20250915-22:43:50,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,datetimef,20250915-224350,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,experiment,Secure5_record,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,inifile,run_record.ini,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,iterationvars,,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,iterationvarsd,,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,iterationvarsf,,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,measurement,,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,processid,99390,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,repetition,0,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,replication,#0,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,resultdir,results,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,runnumber,0,,
Secure5_record-0-20250915-22:43:50-99390,runattr,,,seedset,101,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.result-recording-modes,all,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.scalar-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.vector-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-scalar-file,results/delay/Secure5_record_s101.sca,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-vector-file,results/delay/Secure5_record_s101.vec,,
Secure5_record-0-20250915-22:43:50-99390,config,,,record-eventlog,false,,
Secure5_record-0-20250915-22:43:50-99390,config,,,seed-set,101,,
Secure5_record-0-20250915-22:43:50-99390,config,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99390,config,,,LightIoTNetwork.numSensorNodes,5,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.fakeNode.enabled,false,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.sensor[*].mode,"""Secure""",,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.securityEnabled,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,description,Secure Mode Simulation (includes all scenarios),,
Secure5_record-0-20250915-22:43:50-99390,config,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99390,config,,,ned-path,.,,
Secure5_record-0-20250915-22:43:50-99390,config,,,sim-time-limit,10s,,
Secure5_record-0-20250915-22:43:50-99390,config,,,record-eventlog,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,cmdenv-express-mode,false,,
Secure5_record-0-20250915-22:43:50-99390,config,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99390,config,,,sim-time-limit,10s,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-scalar-file,results/secure_output.sca,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-vector-file,results/secure_output.vec,,
Secure5_record-0-20250915-22:43:50-99390,config,,,network,LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99390,config,,,sim-time-limit,10s,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-scalar-file,results/nosecure_output.sca,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-vector-file,results/nosecure_output.vec,,
Secure5_record-0-20250915-22:43:50-99390,config,,,network,LightIoTNetwork,,
Secure5_record-0-20250915-22:43:50-99390,config,,,sim-time-limit,10s,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-scalar-file,results/attack_output.sca,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-vector-file,results/attack_output.vec,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-scalar-file,results/Secure5_record-0.sca,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-vector-file,results/Secure5_record-0.vec,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.scalar-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.vector-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.statistic-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.result-recording-modes,all,,
Secure5_record-0-20250915-22:43:50-99390,config,,,rng-class,cMersenneTwister,,
Secure5_record-0-20250915-22:43:50-99390,config,,,num-rngs,1,,
Secure5_record-0-20250915-22:43:50-99390,config,,,seed-set,123,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-scalar-file,results/Secure5_record-0.sca,,
Secure5_record-0-20250915-22:43:50-99390,config,,,output-vector-file,results/Secure5_record-0.vec,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.scalar-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.vector-recording,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.result-recording-modes,all,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.sensor[*].aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.fakeNode.aesKeyHex,"""00112233445566778899AABBCCDDEEFF""",,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.sensor[*].sendInterval,0.5s,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.sensor[*].mode,"""Secure""",,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.procDelay,1ms,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.hmacWindow,1s,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.costForward_mJ,5,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.costVerify_mJ,5,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.batteryInit_mJ,5000,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.securityEnabled,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.checkHmac,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.checkFreshness,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.checkDuplicate,true,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.duplicateMethod,"""set""",,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.bloomBits,16384,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.bloomHashes,3,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.sbfBits,16384,,
Secure5_record-0-20250915-22:43:50-99390,config,,,**.gateway.sbfHashes,3,,
