run,type,module,name,attrname,attrvalue,vectime,vecvalue
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,configname,NoSec50_record,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,datetime,20250915-22:43:51,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,datetimef,20250915-224351,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,experiment,NoSec50_record,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,inifile,run_record.ini,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,iterationvars,,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,iterationvarsd,,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,iterationvarsf,,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,measurement,,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,processid,99414,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,repetition,0,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,replication,#0,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,resultdir,results,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,runnumber,0,,
NoSec50_record-0-20250915-22:43:51-99414,runattr,,,seedset,103,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.result-recording-modes,all,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.scalar-recording,true,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.vector-recording,true,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,output-scalar-file,results/delay/NoSec50_record_s103.sca,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,output-vector-file,results/delay/NoSec50_record_s103.vec,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,record-eventlog,false,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,seed-set,103,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,LightIoTNetwork.numSensorNodes,50,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.fakeNode.enabled,false,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.sensor[*].mode,"""NoSecurity""",,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.gateway.securityEnabled,false,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.gateway.procDelay,0s,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,**.gateway.costVerify_mJ,0,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,description,Secure Mode Simulation (includes all scenarios),,
NoSec50_record-0-20250915-22:43:51-99414,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,ned-path,.,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,record-eventlog,true,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,cmdenv-express-mode,false,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,network,ned.LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,sim-time-limit,10s,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,output-scalar-file,results/secure_output.sca,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,output-vector-file,results/secure_output.vec,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,network,LightIoTNetwork,,
NoSec50_record-0-20250915-22:43:51-99414,config,,,sim-time-limit,10s,,
