run,type,module,name,attrname,attrvalue,vectime,vecvalue
Attack20_record-0-20250915-22:43:50-99395,runattr,,,configname,Attack20_record,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,datetime,20250915-22:43:50,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,datetimef,20250915-224350,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,experiment,Attack20_record,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,inifile,run_record.ini,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,iterationvars,,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,iterationvarsd,,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,iterationvarsf,,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,measurement,,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,network,ned.LightIoTNetwork,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,processid,99395,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,repetition,0,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,replication,#0,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,resultdir,results,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,runnumber,0,,
Attack20_record-0-20250915-22:43:50-99395,runattr,,,seedset,101,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.result-recording-modes,all,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.scalar-recording,true,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.vector-recording,true,,
Attack20_record-0-20250915-22:43:50-99395,config,,,output-scalar-file,results/delay/Attack20_record_s101.sca,,
Attack20_record-0-20250915-22:43:50-99395,config,,,output-vector-file,results/delay/Attack20_record_s101.vec,,
Attack20_record-0-20250915-22:43:50-99395,config,,,record-eventlog,false,,
Attack20_record-0-20250915-22:43:50-99395,config,,,seed-set,101,,
Attack20_record-0-20250915-22:43:50-99395,config,,,network,ned.LightIoTNetwork,,
Attack20_record-0-20250915-22:43:50-99395,config,,,LightIoTNetwork.numSensorNodes,20,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.sensor[*].mode,"""Secure""",,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.fakeNode.enabled,true,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.fakeNode.validMac,true,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.gateway.securityEnabled,true,,
Attack20_record-0-20250915-22:43:50-99395,config,,,**.gateway.hmacWindow,1s,,
Attack20_record-0-20250915-22:43:50-99395,config,,,description,Secure Mode Simulation (includes all scenarios),,
Attack20_record-0-20250915-22:43:50-99395,config,,,network,ned.LightIoTNetwork,,
