run,type,module,name,attrname,attrvalue,vectime,vecvalue
Secure5_record-0-20250915-22:43:51-99441,runattr,,,configname,Secure5_record,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,datetime,20250915-22:43:51,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,datetimef,20250915-224351,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,experiment,Secure5_record,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,inifile,run_record.ini,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,iterationvars,,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,iterationvarsd,,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,iterationvarsf,,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,measurement,,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,processid,99441,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,repetition,0,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,replication,#0,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,resultdir,results,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,runnumber,0,,
Secure5_record-0-20250915-22:43:51-99441,runattr,,,seedset,104,,
Secure5_record-0-20250915-22:43:51-99441,config,,,**.result-recording-modes,all,,
Secure5_record-0-20250915-22:43:51-99441,config,,,**.scalar-recording,true,,
Secure5_record-0-20250915-22:43:51-99441,config,,,**.vector-recording,true,,
Secure5_record-0-20250915-22:43:51-99441,config,,,output-scalar-file,results/delay/Secure5_record_s104.sca,,
Secure5_record-0-20250915-22:43:51-99441,config,,,output-vector-file,results/delay/Secure5_record_s104.vec,,
Secure5_record-0-20250915-22:43:51-99441,config,,,record-eventlog,false,,
Secure5_record-0-20250915-22:43:51-99441,config,,,seed-set,104,,
Secure5_record-0-20250915-22:43:51-99441,config,,,network,ned.LightIoTNetwork,,
Secure5_record-0-20250915-22:43:51-99441,config,,,LightIoTNetwork.numSensorNodes,5,,
Secure5_record-0-20250915-22:43:51-99441,config,,,**.fakeNode.enabled,false,,
Secure5_record-0-20250915-22:43:51-99441,config,,,**.sensor[*].mode,"""Secure""",,
