run,repetition,module,name,value,filebase
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.gateway,mismatchCounter,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.cloud,Cloud_TotalReceived,94,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,-4.6462893617021e-08,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,0,NoSec5_record_s102
NoSec5_record-0-20250915-22:43:50-99402,0,LightIoTNetwork.fakeNode,Fake_Bursts,0,NoSec5_record_s102
run,repetition,module,name,value,filebase
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4660,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4600,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,totalAccepted,92,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,totalDroppedHmac,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,totalDroppedReplay,14,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,totalDroppedDup,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,goodput,9.2,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,bloomFP,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,bloomCallsPerK,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,energyGW_mJ,990,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,energyPerMsg_mJ,10.760869565217,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,workAvg_units,2.8679245283019,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,workH_count,106,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,workF_count,106,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,workB_count,92,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,stageOrderId,1,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.gateway,mismatchCounter,0,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.cloud,Cloud_TotalReceived,92,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,0.028844463097989,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,15,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,15,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,12,Attack5_record_s101
Attack5_record-0-20250915-22:43:50-99393,0,LightIoTNetwork.fakeNode,Fake_Bursts,3,Attack5_record_s101
run,repetition,module,name,value,filebase
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4620,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4620,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4620,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,totalAccepted,94,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,totalDroppedHmac,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,totalDroppedReplay,19,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,totalDroppedDup,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,goodput,9.4,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,bloomFP,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,bloomCallsPerK,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,energyGW_mJ,1035,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,energyPerMsg_mJ,11.010638297872,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,workAvg_units,2.8318584070796,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,workH_count,113,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,workF_count,113,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,workB_count,94,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,stageOrderId,1,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.gateway,mismatchCounter,0,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.cloud,Cloud_TotalReceived,94,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,0.017873985556628,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,20,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,20,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,16,Attack5_record_s103
Attack5_record-0-20250915-22:43:51-99420,0,LightIoTNetwork.fakeNode,Fake_Bursts,4,Attack5_record_s103
run,repetition,module,name,value,filebase
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4640,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4620,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,totalAccepted,91,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,totalDroppedHmac,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,totalDroppedReplay,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,totalDroppedDup,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,goodput,9.1,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,bloomFP,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,bloomCallsPerK,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,bloomQueriesTotal,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,bloomInsertsTotal,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,energyGW_mJ,455,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,energyPerMsg_mJ,5,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,workAvg_units,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,workH_count,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,workF_count,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,workB_count,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,stageOrderId,1,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.gateway,mismatchCounter,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.cloud,Cloud_TotalReceived,91,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.cloud,Cloud_AvgDelay_s,-3.4614615384615e-09,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.fakeNode,Fake_AttacksSent,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.fakeNode,Fake_ValidReplaysSent,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.fakeNode,Fake_DupMsgsSent,0,NoSec5_record_s101
NoSec5_record-0-20250915-22:43:50-99387,0,LightIoTNetwork.fakeNode,Fake_Bursts,0,NoSec5_record_s101
run,repetition,module,name,value,filebase
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.sensor[0],Sensor_EnergyRemaining_mJ,4620,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.sensor[1],Sensor_EnergyRemaining_mJ,4620,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.sensor[2],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.sensor[3],Sensor_EnergyRemaining_mJ,4640,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.sensor[4],Sensor_EnergyRemaining_mJ,4620,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,totalAccepted,94,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,totalDroppedHmac,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,totalDroppedReplay,17,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,totalDroppedDup,0,Attack5_record_s102
Attack5_record-0-20250915-22:43:50-99408,0,LightIoTNetwork.gateway,goodput,9.4,Attack5_record_s102
